ID;NAME_RU;NAME_EN;YEAR;COUNTRIES;GENRES;RATE;FILM_DIRECTOR;ACTORS
0e6b9514-2635-4224-9487-98ec0c432fb3;Их звездный час;Their Finest;2016;Великобритания;drama, melodrama, comedy;5.0;Лоне Шерфиг;drama, melodrama, comedy
4d6b4d38-75ae-4804-a0f2-f89628425ff4;Мама, не горюй 2;Mama ne goryuy 2;2005;Россия;comedy;5.8;Максим Пежемский;comedy
70a3af85-d10b-40f1-ad94-7cf58841c978;Белль и Себастьян;Belle et Sébastien;2013;Франция;family, adventures;7.5;Николя Ванье;family, adventures
97658d4e-ff10-42f1-86f9-883f8b161308;Смертельный номер;Death Defying Acts;2007;Великобритания, Австралия;drama, melodrama, thriller;6.5;Джиллиан Армстронг;drama, melodrama, thriller
82652a8e-c8d8-4766-bb29-67f2022ff89d;Черновик;Chernovik;2018;Россия;fantasy;3.33;Сергей Мокрицкий;fantasy
d4889b9a-3378-4101-be94-2436cc4abc1e;Облепиховое лето;Oblepikhovoe leto;2018;Россия;drama;6.3;Виктор Алферов;drama
f0586254-b2c0-45b0-8d40-d719cdb211d0;Дальше некуда;The Jesus Rolls;2019;США;drama, crime, comedy;4.9;Джон Туртурро;drama, crime, comedy
ff2cffe4d697f7e6aa2e9;Бабник;Spread;2008;США;drama, melodrama;5.0;Дэвид Маккензи;drama, melodrama
d7e06b60-bd43-4858-a0a6-66495a3d0be2;Kingsman: Секретная служба;Kingsman: The Secret Service;2015;Великобритания, США;detective, action, comedy;3.63;Мэттью Вон;detective, action, comedy
4ca001df-1987-4f13-ac6b-c4e8fd2dbda5;Талли;Tully;2017;США, Канада;detective, drama, comedy;7.0;Джейсон Райтман;detective, drama, comedy
006948ae-a54b-4443-aece-e03f3d5edd98;Первый мститель: Противостояние;CAPTAIN AMERICA: CIVIL WAR;2016;США;action, fantasy, adventures;7.4;Энтони Руссо;action, fantasy, adventures
e8db5262-f2b5-4f48-8da4-d6a32c9a20cf;Собачья жизнь;A Dog's Purpose;2017;США, Индия;drama, family, adventures, fentezi, comedy;7.9;Лассе Халльстрём;drama, family, adventures, fentezi, comedy
6767a39d-4a96-4bf1-859a-8575254954ae;Сказка, рассказанная ночью;Skazka, rasskazannaya nochyu;1981;СССР;drama, family, fentezi;7.8;Ирма Рауш;drama, family, fentezi
f5dc7c10-3d24-4f44-a285-54c6e645fb48;Наруто 8: Кровавая тюрьма;Naruto Shippuden the Movie: Blood Prison;2011;Япония;family, for_child;;Масахико Мурата;family, for_child
55cbeca9-ed8c-45fe-ac46-4be9285716de;Вайолет Эвергарден: вечность и призрак пера;Violet Evergarden – Eternity and the Auto Memory Doll;2019;Япония;cartoon, drama, melodrama, fentezi;7.3;Харука Фудзита;cartoon, drama, melodrama, fentezi
